temperatureEau,temperature,humidity,date
21.5,22,59,2013-11-02 01:58:39
21.5625,22,59,2013-11-02 01:59:40
21.5625,22,59,2013-11-02 02:00:41
21.5625,22,59,2013-11-02 02:01:42
21.5625,22,59,2013-11-02 02:02:43
21.5625,22,59,2013-11-02 02:03:44
21.5625,22,60,2013-11-02 02:04:45
21.5625,22,59,2013-11-02 02:05:46
21.5,22,59,2013-11-02 02:06:47
21.5,22,60,2013-11-02 02:07:47
21.5625,22,59,2013-11-02 02:08:48
21.5,22,59,2013-11-02 02:09:49
21.5,22,59,2013-11-02 02:10:50
21.5,22,59,2013-11-02 02:11:51
21.5,22,59,2013-11-02 02:12:52
21.5,22,59,2013-11-02 02:13:53
21.5,22,59,2013-11-02 02:14:54
21.5,22,59,2013-11-02 02:15:55
21.5,22,59,2013-11-02 02:16:56
21.5,22,59,2013-11-02 02:17:56
21.5,22,59,2013-11-02 02:18:57
21.5,22,59,2013-11-02 02:19:58
21.5,22,60,2013-11-02 02:20:59
21.5,22,59,2013-11-02 02:22:00
21.5,22,60,2013-11-02 02:23:01
21.5,22,60,2013-11-02 02:24:02
21.5,22,60,2013-11-02 02:25:03
21.5,22,60,2013-11-02 02:26:04
21.5,22,59,2013-11-02 02:27:04
21.5,22,59,2013-11-02 02:28:05
21.5,22,60,2013-11-02 02:29:06
21.5,22,59,2013-11-02 02:30:07
21.5,22,59,2013-11-02 02:31:08
21.5,22,60,2013-11-02 02:32:09
21.5,22,60,2013-11-02 02:33:10
21.5,22,59,2013-11-02 02:34:11
21.5,22,59,2013-11-02 02:35:12
21.5,22,59,2013-11-02 02:36:13
21.5,22,59,2013-11-02 02:37:13
21.5,22,59,2013-11-02 02:38:14
21.5,22,59,2013-11-02 02:39:15
21.5,22,59,2013-11-02 02:40:16
21.5,22,60,2013-11-02 02:41:17
21.5,22,60,2013-11-02 02:42:18
21.5,22,59,2013-11-02 02:43:19
21.5,22,59,2013-11-02 02:44:20
21.5,22,59,2013-11-02 02:45:21
21.5,22,59,2013-11-02 02:46:21
21.5,22,60,2013-11-02 02:47:22
21.5,22,59,2013-11-02 02:48:23
21.5,22,59,2013-11-02 02:49:24
21.5,22,60,2013-11-02 02:50:25
21.5,22,60,2013-11-02 02:51:26
21.5,22,59,2013-11-02 02:52:27
21.5,22,59,2013-11-02 02:53:28
21.5,22,59,2013-11-02 02:54:29
21.5,22,59,2013-11-02 02:55:30
21.5,22,60,2013-11-02 02:56:30
21.5,22,60,2013-11-02 02:57:31
21.5,22,60,2013-11-02 02:58:32
21.5,22,59,2013-11-02 02:59:33
21.5,22,60,2013-11-02 03:00:34
21.4375,22,59,2013-11-02 03:01:35
21.5,22,59,2013-11-02 03:02:36
21.5,22,59,2013-11-02 03:03:37
21.4375,22,60,2013-11-02 03:04:38
21.4375,22,60,2013-11-02 03:05:38
21.5,22,60,2013-11-02 03:06:39
21.5,22,59,2013-11-02 03:07:40
21.5,22,59,2013-11-02 03:08:41
21.4375,22,59,2013-11-02 03:09:42
21.5,23,58,2013-11-02 03:10:43
21.5,22,59,2013-11-02 03:11:44
21.4375,22,60,2013-11-02 03:12:45
21.4375,22,60,2013-11-02 03:13:46
21.5,22,60,2013-11-02 03:14:47
21.5,22,60,2013-11-02 03:15:47
21.5,22,59,2013-11-02 03:16:48
21.4375,22,60,2013-11-02 03:17:49
21.4375,22,60,2013-11-02 03:18:50
21.4375,22,59,2013-11-02 03:19:51
21.4375,22,60,2013-11-02 03:20:52
21.4375,22,60,2013-11-02 03:21:53
21.4375,22,59,2013-11-02 03:22:54
21.4375,22,59,2013-11-02 03:23:55
21.4375,22,59,2013-11-02 03:24:56
21.4375,22,59,2013-11-02 03:25:56
21.4375,22,60,2013-11-02 03:26:57
21.4375,22,60,2013-11-02 03:27:58
21.4375,22,60,2013-11-02 03:28:59
21.4375,22,60,2013-11-02 03:30:00
21.4375,22,60,2013-11-02 03:31:01
21.4375,22,60,2013-11-02 03:32:02
21.4375,22,60,2013-11-02 03:33:03
21.4375,22,59,2013-11-02 03:34:04
21.4375,22,59,2013-11-02 03:35:04
21.4375,22,60,2013-11-02 03:36:05
21.4375,22,60,2013-11-02 03:37:06
21.4375,22,59,2013-11-02 03:38:07
21.4375,22,60,2013-11-02 03:39:08
21.4375,22,59,2013-11-02 03:40:09
21.4375,22,59,2013-11-02 03:41:10
21.4375,22,59,2013-11-02 03:42:11
21.4375,22,60,2013-11-02 03:43:12
21.4375,22,60,2013-11-02 03:44:13
21.4375,22,60,2013-11-02 03:45:13
21.4375,22,60,2013-11-02 03:46:14
21.4375,22,59,2013-11-02 03:47:15
21.4375,22,59,2013-11-02 03:48:16
21.4375,22,59,2013-11-02 03:49:17
21.4375,23,59,2013-11-02 03:50:18
21.4375,22,60,2013-11-02 03:51:19
21.4375,22,60,2013-11-02 03:52:20
