temperatureEau;temperature;humidity;date
21.5;22;60;02/11/2013 05:42
21.5;22;60;02/11/2013 05:43
21.5;22;60;02/11/2013 05:44
21.5;22;59;02/11/2013 05:46
21.5;22;59;02/11/2013 05:47
21.5;22;60;02/11/2013 05:48
21.5;22;60;02/11/2013 05:49
21.5;22;60;02/11/2013 05:50
21.5;22;60;02/11/2013 05:51
21.5;22;60;02/11/2013 05:52
21.4375;22;59;02/11/2013 05:53
21.4375;22;59;02/11/2013 05:54
21.4375;22;59;02/11/2013 05:55
21.5;22;59;02/11/2013 05:56
21.5;22;59;02/11/2013 05:57
21.5;22;59;02/11/2013 05:58
21.4375;22;60;02/11/2013 05:59
21.4375;22;60;02/11/2013 06:00
21.5;22;60;02/11/2013 06:01
21.5;22;60;02/11/2013 06:02
21.5;22;59;02/11/2013 06:03
21.5;22;60;02/11/2013 06:04
21.5;22;59;02/11/2013 06:05
21.5;22;60;02/11/2013 06:06
21.5;22;59;02/11/2013 06:07
21.5;22;60;02/11/2013 06:08
21.5;22;60;02/11/2013 06:09
21.5;22;59;02/11/2013 06:10
21.5;22;59;02/11/2013 06:11
21.5;22;59;02/11/2013 06:12
21.5;22;60;02/11/2013 06:13
21.5;22;60;02/11/2013 06:14
21.5;22;60;02/11/2013 06:15
21.5;22;60;02/11/2013 06:16
21.5;22;60;02/11/2013 06:17
21.5;22;59;02/11/2013 06:18
21.5;23;59;02/11/2013 06:19
21.5;22;59;02/11/2013 06:20
21.5;22;59;02/11/2013 06:21
21.5;22;60;02/11/2013 06:22
21.5;22;59;02/11/2013 06:23
21.5;22;59;02/11/2013 06:24
21.5;22;60;02/11/2013 06:25
21.5;22;59;02/11/2013 06:26
21.4375;22;60;02/11/2013 06:27
21.5;22;60;02/11/2013 06:28
21.5;22;60;02/11/2013 06:29
21.5;22;60;02/11/2013 06:30
21.5;22;60;02/11/2013 06:31
21.5;22;59;02/11/2013 06:32
21.5;22;59;02/11/2013 06:33
21.5;22;59;02/11/2013 06:34
21.5;22;60;02/11/2013 06:35
21.5;22;60;02/11/2013 06:36
21.5;22;60;02/11/2013 06:37
21.5;22;60;02/11/2013 06:38
21.5;22;60;02/11/2013 06:39
21.5;22;59;02/11/2013 06:40
21.5;22;60;02/11/2013 06:41
21.5;22;59;02/11/2013 06:42
21.5;22;59;02/11/2013 06:43
21.5;22;60;02/11/2013 06:44
21.5;22;60;02/11/2013 06:45
21.5;22;60;02/11/2013 06:46
21.5;22;60;02/11/2013 06:47
21.5;22;59;02/11/2013 06:48
21.5;22;59;02/11/2013 06:49
21.5;22;59;02/11/2013 06:50
21.5;22;60;02/11/2013 06:51
21.5;22;59;02/11/2013 06:52
21.5;22;60;02/11/2013 06:54
21.5;22;60;02/11/2013 06:55
21.5;22;59;02/11/2013 06:56
21.5;22;60;02/11/2013 06:57
21.5;22;60;02/11/2013 06:58
21.5625;22;59;02/11/2013 06:59
21.5;22;60;02/11/2013 07:00
21.5;22;59;02/11/2013 07:01
21.5;22;59;02/11/2013 07:02
21.5;22;60;02/11/2013 07:03
21.5;22;59;02/11/2013 07:04
21.5;22;60;02/11/2013 07:05
21.5;22;60;02/11/2013 07:06
21.5;22;59;02/11/2013 07:07
21.5625;22;60;02/11/2013 07:08
21.5625;22;60;02/11/2013 07:09
21.5;22;59;02/11/2013 07:10
21.5;22;60;02/11/2013 07:11
21.5625;22;60;02/11/2013 07:12
21.5;22;60;02/11/2013 07:13
21.5625;23;59;02/11/2013 07:14
21.5;22;60;02/11/2013 07:15
21.5;22;59;02/11/2013 07:16
21.5625;22;59;02/11/2013 07:17
21.5625;22;59;02/11/2013 07:18
21.5625;22;59;02/11/2013 07:19
21.5625;22;60;02/11/2013 07:20
21.5625;22;60;02/11/2013 07:21
21.5625;22;60;02/11/2013 07:22
21.5625;22;60;02/11/2013 07:23
21.5625;22;60;02/11/2013 07:24
21.5625;22;60;02/11/2013 07:25
21.5625;22;59;02/11/2013 07:26
21.5625;22;59;02/11/2013 07:27
21.5625;22;59;02/11/2013 07:28
21.5625;22;60;02/11/2013 07:29
21.5625;22;59;02/11/2013 07:30
21.5625;22;60;02/11/2013 07:31
21.5625;22;60;02/11/2013 07:32
21.5625;22;60;02/11/2013 07:33
21.5625;22;60;02/11/2013 07:34
21.5625;22;59;02/11/2013 07:35
21.5625;22;59;02/11/2013 07:36
21.5625;22;59;02/11/2013 07:37
21.5625;22;59;02/11/2013 07:38
21.5625;22;59;02/11/2013 07:39
21.5625;22;59;02/11/2013 07:40
21.5625;22;60;02/11/2013 07:41
21.5625;22;60;02/11/2013 07:42
21.5625;22;60;02/11/2013 07:43
21.5625;22;60;02/11/2013 07:44
21.5625;22;60;02/11/2013 07:45
21.5625;22;59;02/11/2013 07:46
21.5625;22;59;02/11/2013 07:47
21.5625;22;59;02/11/2013 07:48
21.5625;22;60;02/11/2013 07:49
21.5625;22;60;02/11/2013 07:50
21.5625;22;60;02/11/2013 07:51
21.5625;22;60;02/11/2013 07:52
21.5625;22;60;02/11/2013 07:53
